city,cityLabel,population,lat,lon,regionLabel
http://www.wikidata.org/entity/Q102667,Бийск,179211,52.516666666,85.166666666,
http://www.wikidata.org/entity/Q193413,Рыбинск,169579,58.05,38.833333333,
http://www.wikidata.org/entity/Q103483,Альметьевск,163747,54.9,52.3,
http://www.wikidata.org/entity/Q175452,Новочеркасск,160529,47.422222222,40.093888888,
http://www.wikidata.org/entity/Q105444,Каменск-Уральский,160312,56.4,61.933333333,
http://www.wikidata.org/entity/Q140087,Златоуст,157244,55.166666666,59.666666666,
http://www.wikidata.org/entity/Q147756,Хасавюрт,155144,43.25,46.583333333,
http://www.wikidata.org/entity/Q4262671,Адлерский район,152223,43.433611111,39.916111111,
http://www.wikidata.org/entity/Q4262671,Адлерский район,151533,43.433611111,39.916111111,
http://www.wikidata.org/entity/Q157065,Керчь,151103,45.338611111,36.468055555,
http://www.wikidata.org/entity/Q157065,Керчь,151103,45.338611111,36.468055555,
http://www.wikidata.org/entity/Q4262671,Адлерский район,149282,43.433611111,39.916111111,
http://www.wikidata.org/entity/Q4262671,Адлерский район,145278,43.433611111,39.916111111,
http://www.wikidata.org/entity/Q193443,Салават,144970,53.366666666,55.933333333,
http://www.wikidata.org/entity/Q155148,Копейск,143751,55.1,61.616666666,
http://www.wikidata.org/entity/Q4262671,Адлерский район,141443,43.433611111,39.916111111,
http://www.wikidata.org/entity/Q3752,Майкоп,137899,44.6,40.083333333,
http://www.wikidata.org/entity/Q4262671,Адлерский район,136578,43.433611111,39.916111111,
http://www.wikidata.org/entity/Q172601,Нефтекамск,133874,56.083333333,54.25,
http://www.wikidata.org/entity/Q105002,Березники,132841,59.416666666,56.783333333,
http://www.wikidata.org/entity/Q175651,Обнинск,132477,55.1,36.616666666,
http://www.wikidata.org/entity/Q145507,Каспийск,129833,42.883333333,47.633333333,
http://www.wikidata.org/entity/Q131416,Дербент,127084,42.057777777,48.288888888,
http://www.wikidata.org/entity/Q172616,Нефтеюганск,126690,61.1,72.6,
http://www.wikidata.org/entity/Q4262671,Адлерский район,125519,43.433611111,39.916111111,
http://www.wikidata.org/entity/Q104649,Батайск,124987,47.133333333,39.75,
http://www.wikidata.org/entity/Q5326,Черкесск,123100,44.222222222,42.0575,
http://www.wikidata.org/entity/Q193380,Рубцовск,121698,51.516666666,81.2,
http://www.wikidata.org/entity/Q175433,Новочебоксарск,120361,56.116666666,47.5,
http://www.wikidata.org/entity/Q4262671,Адлерский район,118026,43.433611111,39.916111111,
http://www.wikidata.org/entity/Q176325,Октябрьский,116510,54.483333333,53.483333333,
http://www.wikidata.org/entity/Q1978797,Мурино,116293,60.051388888,30.438611111,
http://www.wikidata.org/entity/Q175161,Новомосковск,115938,54.033333333,38.266666666,
http://www.wikidata.org/entity/Q165806,Невинномысск,113112,44.633333333,41.933333333,
http://www.wikidata.org/entity/Q19157,Первоуральск,110999,56.916666666,59.95,
http://www.wikidata.org/entity/Q135285,Димитровград,108073,54.233333333,49.583333333,
http://www.wikidata.org/entity/Q175470,Новый Уренгой,106890,66.084722222,76.678888888,
http://www.wikidata.org/entity/Q33345,Евпатория,105549,45.2,33.358333333,
http://www.wikidata.org/entity/Q33345,Евпатория,105549,45.2,33.358333333,
http://www.wikidata.org/entity/Q193909,Северск,104982,56.6,84.85,
http://www.wikidata.org/entity/Q144170,Камышин,104220,50.083333333,45.4,
http://www.wikidata.org/entity/Q3977,Элиста,104082,46.316666666,44.266666666,
http://www.wikidata.org/entity/Q162677,Муром,104078,55.580854,42.053839,
http://www.wikidata.org/entity/Q175524,Ноябрьск,102938,63.201666666,75.451666666,
http://www.wikidata.org/entity/Q104991,Бердск,101987,54.75,83.1,
http://www.wikidata.org/entity/Q155809,Новошахтинск,100738,47.766666666,39.916666666,
http://www.wikidata.org/entity/Q104232,Ачинск,99048,56.281666666,90.503888888,
http://www.wikidata.org/entity/Q193722,Сергиев Посад,98251,56.3,38.133333333,
http://www.wikidata.org/entity/Q175124,Новокуйбышевск,95862,53.1,49.916666666,
http://www.wikidata.org/entity/Q72536,Железногорск,94959,52.333333333,35.366666666,
http://www.wikidata.org/entity/Q7436,Гатчина,91514,59.56841,30.122892,
http://www.wikidata.org/entity/Q128499,Ялта,72013,44.499444444,34.155277777,
http://www.wikidata.org/entity/Q196694,Троицк,69983,54.083333333,61.566666666,
http://www.wikidata.org/entity/Q104717,Белово,66862,54.416666666,86.3,
http://www.wikidata.org/entity/Q103620,Анжеро-Судженск,63942,56.083333333,86.033333333,
http://www.wikidata.org/entity/Q16978,Крымск,54756,44.933333333,38.0,
http://www.wikidata.org/entity/Q1659768,Брянка,44987,48.513333333,38.643055555,
http://www.wikidata.org/entity/Q105010,Берёзовский,43254,55.666666666,86.25,
http://www.wikidata.org/entity/Q15762,Абинск,38440,44.866666666,38.166666666,
http://www.wikidata.org/entity/Q46001,Алушта,31364,44.667222222,34.397777777,
http://www.wikidata.org/entity/Q158604,Бахчисарай,28609,44.752777777,33.860833333,
http://www.wikidata.org/entity/Q198349,Шумерля,26873,55.5,46.416666666,
http://www.wikidata.org/entity/Q161987,Красноперекопск,25569,45.9675,33.800277777,
http://www.wikidata.org/entity/Q161970,Саки,24285,45.133611111,33.577222222,
http://www.wikidata.org/entity/Q194670,Скопин,24055,53.816666666,39.55,
http://www.wikidata.org/entity/Q4353452,город Тельмана,23986,59.725555555,30.612222222,
http://www.wikidata.org/entity/Q2392673,Бугры,22428,60.071111111,30.396666666,
http://www.wikidata.org/entity/Q134717,Гурьевск,21487,54.283333333,85.933333333,
http://www.wikidata.org/entity/Q143722,Калтан,20724,53.516666666,87.266666666,
http://www.wikidata.org/entity/Q175191,Новопавловск,20490,43.963611111,43.639444444,
http://www.wikidata.org/entity/Q1633565,Ойсхара,19992,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q688716,Армянск,19917,46.107222222,33.693333333,
http://www.wikidata.org/entity/Q1633565,Ойсхара,19686,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q7830,Судак,17834,44.851388888,34.9725,
http://www.wikidata.org/entity/Q173037,Николаевск-на-Амуре,17471,53.15,140.733333333,
http://www.wikidata.org/entity/Q102682,Абдулино,17274,53.683333333,53.65,
http://www.wikidata.org/entity/Q4228741,Колтуши,14473,59.932919,30.655377,
http://www.wikidata.org/entity/Q102737,Агидель,14219,55.9,53.933333333,
http://www.wikidata.org/entity/Q752183,Инкерман,13858,44.618611111,33.605833333,
http://www.wikidata.org/entity/Q906612,Шелковская,13168,43.508888888,46.3325,
http://www.wikidata.org/entity/Q24690,Забайкальск,13154,49.651388888,117.326944444,
http://www.wikidata.org/entity/Q4353452,город Тельмана,13108,59.725555555,30.612222222,
http://www.wikidata.org/entity/Q4417705,Серноводское,13094,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q906612,Шелковская,12913,43.508888888,46.3325,
http://www.wikidata.org/entity/Q4417705,Серноводское,12832,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q1633565,Ойсхара,12767,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q810890,Бачатский,12729,54.41666667,86.16666667,
http://www.wikidata.org/entity/Q810890,Бачатский,12729,54.285277777,86.109444444,
http://www.wikidata.org/entity/Q906612,Шелковская,12593,43.508888888,46.3325,
http://www.wikidata.org/entity/Q4417705,Серноводское,12583,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q906612,Шелковская,12504,43.508888888,46.3325,
http://www.wikidata.org/entity/Q4417705,Серноводское,12503,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q1644681,Инской,12499,54.433333333,86.441666666,
http://www.wikidata.org/entity/Q906612,Шелковская,12273,43.508888888,46.3325,
http://www.wikidata.org/entity/Q102469,Абаза,12272,52.65,90.083333333,
http://www.wikidata.org/entity/Q1633565,Ойсхара,12242,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q4417705,Серноводское,12221,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q1633565,Ойсхара,12062,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q4417705,Серноводское,11980,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q906612,Шелковская,11924,43.508888888,46.3325,
http://www.wikidata.org/entity/Q4417705,Серноводское,11808,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q1633565,Ойсхара,11801,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q906612,Шелковская,11679,43.508888888,46.3325,
http://www.wikidata.org/entity/Q4417705,Серноводское,11626,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q1633565,Ойсхара,11546,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q4417705,Серноводское,11492,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q906612,Шелковская,11440,43.508888888,46.3325,
http://www.wikidata.org/entity/Q4417705,Серноводское,11315,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q1633565,Ойсхара,11267,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q1125942,Грамотеино,11217,54.536111111,86.380555555,
http://www.wikidata.org/entity/Q2025001,Наурская,11165,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q4417705,Серноводское,11124,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q906612,Шелковская,11112,43.508888888,46.3325,
http://www.wikidata.org/entity/Q1633565,Ойсхара,10985,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q2025001,Наурская,10943,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q2025001,Наурская,10840,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q4417705,Серноводское,10805,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q1633565,Ойсхара,10619,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q997522,Щёлкино,10131,45.423611111,35.818611111,
http://www.wikidata.org/entity/Q1633565,Ойсхара,9964,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q2025001,Наурская,9917,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q4417705,Серноводское,9860,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q2025001,Наурская,9850,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q179407,Печоры,9808,57.816666666,27.6,
http://www.wikidata.org/entity/Q2025001,Наурская,9787,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q906612,Шелковская,9581,43.508888888,46.3325,
http://www.wikidata.org/entity/Q2025001,Наурская,9540,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q1633565,Ойсхара,9489,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q2025001,Наурская,9377,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q2392673,Бугры,9185,60.071111111,30.396666666,
http://www.wikidata.org/entity/Q2025001,Наурская,8989,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q4353452,город Тельмана,8757,59.725555555,30.612222222,
http://www.wikidata.org/entity/Q4417705,Серноводское,8732,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q2025001,Наурская,8531,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q1633565,Ойсхара,8200,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q4417705,Серноводское,8041,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q906612,Шелковская,7961,43.508888888,46.3325,
http://www.wikidata.org/entity/Q198859,Ядрин,7918,55.95,46.2,
http://www.wikidata.org/entity/Q158336,Мариинский Посад,7851,56.116666666,47.716666666,
http://www.wikidata.org/entity/Q175617,Облучье,7831,49.0,131.05,
http://www.wikidata.org/entity/Q4417705,Серноводское,7712,43.311666666,45.159444444,
http://www.wikidata.org/entity/Q2025001,Наурская,7617,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q182892,Полесск,6954,54.866666666,21.1,
http://www.wikidata.org/entity/Q1633565,Ойсхара,6865,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q906612,Шелковская,6600,43.508888888,46.3325,
http://www.wikidata.org/entity/Q2392673,Бугры,6154,60.071111111,30.396666666,
http://www.wikidata.org/entity/Q1633565,Ойсхара,5943,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q4353452,город Тельмана,5807,59.725555555,30.612222222,
http://www.wikidata.org/entity/Q1965748,Весёлое,5620,43.411388888,40.0025,
http://www.wikidata.org/entity/Q906612,Шелковская,5558,43.508888888,46.3325,
http://www.wikidata.org/entity/Q4353452,город Тельмана,5466,59.725555555,30.612222222,
http://www.wikidata.org/entity/Q2025001,Наурская,5181,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q4353452,город Тельмана,5127,59.725555555,30.612222222,
http://www.wikidata.org/entity/Q2025001,Наурская,5001,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q4353452,город Тельмана,4780,59.725555555,30.612222222,
http://www.wikidata.org/entity/Q2392673,Бугры,4739,60.071111111,30.396666666,
http://www.wikidata.org/entity/Q2025001,Наурская,4648,43.650833333,45.311666666,
http://www.wikidata.org/entity/Q2392673,Бугры,4615,60.071111111,30.396666666,
http://www.wikidata.org/entity/Q1965748,Весёлое,4140,43.411388888,40.0025,
http://www.wikidata.org/entity/Q1965748,Весёлое,4134,43.411388888,40.0025,
http://www.wikidata.org/entity/Q370550,Вяртсиля,3860,62.176944444,30.697222222,
http://www.wikidata.org/entity/Q1633565,Ойсхара,3648,43.263888888,46.248055555,
http://www.wikidata.org/entity/Q4417798,Серпухов-15,3484,55.07,37.04,
http://www.wikidata.org/entity/Q906612,Шелковская,3357,43.508888888,46.3325,
http://www.wikidata.org/entity/Q370550,Вяртсиля,2915,62.176944444,30.697222222,
http://www.wikidata.org/entity/Q2373220,Старочеркасская,2399,47.242222222,40.036666666,
http://www.wikidata.org/entity/Q906612,Шелковская,2310,43.508888888,46.3325,
http://www.wikidata.org/entity/Q370550,Вяртсиля,2104,62.176944444,30.697222222,
http://www.wikidata.org/entity/Q370550,Вяртсиля,2086,62.176944444,30.697222222,
http://www.wikidata.org/entity/Q4076569,Балезино-3,1949,57.861666666,53.265,
http://www.wikidata.org/entity/Q906612,Шелковская,1321,43.508888888,46.3325,
http://www.wikidata.org/entity/Q4449499,Таврово,842,51.55277778,39.19833333,
http://www.wikidata.org/entity/Q4417794,Серпухов-13,750,54.932222222,37.558888888,
http://www.wikidata.org/entity/Q906612,Шелковская,663,43.508888888,46.3325,
http://www.wikidata.org/entity/Q4353452,город Тельмана,574,59.725555555,30.612222222,
http://www.wikidata.org/entity/Q1708444,Соловьёвск,570,49.9,115.726666666,
http://www.wikidata.org/entity/Q4353452,город Тельмана,554,59.725555555,30.612222222,
http://www.wikidata.org/entity/Q13637388,Сукромны,488,57.668333333,36.8075,
http://www.wikidata.org/entity/Q4353452,город Тельмана,401,59.725555555,30.612222222,
http://www.wikidata.org/entity/Q4228741,Колтуши,312,59.932919,30.655377,
http://www.wikidata.org/entity/Q4146319,Горячий Пляж,http://www.wikidata.org/.well-known/genid/32679d5589065d849bd6ba0549286744,43.99444444,145.7991667,
